Time;Temp;RH;CO2
2022-05-19T01:00:00Z;23.7285;45.08658333;470.0405
2022-05-19T02:00:00Z;23.58716667;45.38691667;463.1905
2022-05-19T03:00:00Z;23.41875;45.61325;469.2726667
2022-05-19T04:00:00Z;23.23125;45.6395;469.5068333
2022-05-19T05:00:00Z;23.02341667;45.5775;468.6065833
2022-05-19T06:00:00Z;22.88991667;45.64941667;466.8018333
2022-05-19T07:00:00Z;22.85691667;45.87566667;466.5148333
2022-05-19T08:00:00Z;22.954125;46.3245;473.538875
2022-05-19T09:00:00Z;23.2505;48.0905;495.10375
2022-05-19T10:00:00Z;23.50075;49.31575;487.75175
2022-05-19T11:00:00Z;23.924;48.40975;516.36575
2022-05-19T12:00:00Z;24.6015;46.8485;529.5735
2022-05-19T13:00:00Z;25.105;45.038;508.70725
2022-05-19T14:00:00Z;25.68025;43.92875;541.757
2022-05-19T15:00:00Z;26.02575;43.58375;532.965
2022-05-19T16:00:00Z;26.35675;42.275;526.15475
2022-05-19T17:00:00Z;26.4895;41.19075;500.5655
2022-05-19T18:00:00Z;26.7025;40.21075;476.79225
2022-05-19T19:00:00Z;26.737;40.67075;496.64425
2022-05-19T20:00:00Z;26.48425;41.14225;515.18
2022-05-19T21:00:00Z;26.02175;41.491;510.0595
2022-05-19T22:00:00Z;25.5735;41.71275;505.611
2022-05-19T23:00:00Z;25.155;41.98925;511.58775
2022-05-20T00:00:00Z;24.8765;42.274;501.1975
2022-05-20T01:00:00Z;24.51625;42.474;503.27975
2022-05-20T02:00:00Z;24.25525;42.77475;503.41725
2022-05-20T03:00:00Z;24.06975;43.05825;498.81275
2022-05-20T04:00:00Z;23.843;43.30025;501.86775
2022-05-20T05:00:00Z;23.5755;43.4915;502.64825
2022-05-20T06:00:00Z;23.4655;43.723;498.65425
2022-05-20T07:00:00Z;23.374;43.88525;503.8955
2022-05-20T08:00:00Z;23.321;44.235;496.28475
2022-05-20T09:00:00Z;23.24375;45.17425;511.8285
2022-05-20T10:00:00Z;23.48425;46.0125;535.3995
2022-05-20T11:00:00Z;23.97825;46.04775;579.64775
2022-05-20T12:00:00Z;24.64025;45.01425;655.16125
2022-05-20T13:00:00Z;25.479;44.5215;702.75275
2022-05-20T14:00:00Z;26.2405;43.499;755.2875
2022-05-20T15:00:00Z;26.6145;42.7935;737.89125
2022-05-20T16:00:00Z;26.94125;41.99575;730.4215
2022-05-20T17:00:00Z;26.17725;42.688;639.49775
2022-05-20T18:00:00Z;25.71925;43.86375;630.1545
2022-05-20T19:00:00Z;25.32625;44.52625;593.4715
2022-05-20T20:00:00Z;24.72425;44.61525;544.9855
2022-05-20T21:00:00Z;24.04675;43.5395;478.365
2022-05-20T22:00:00Z;23.364;44.138;465.909
2022-05-20T23:00:00Z;22.92325;44.854;454.08375
2022-05-21T00:00:00Z;22.53075;45.62225;453.834
2022-05-21T01:00:00Z;22.20425;46.236;445.906
2022-05-21T02:00:00Z;22.03725;46.40175;447.12525
2022-05-21T03:00:00Z;21.707;46.64025;448.7265
2022-05-21T04:00:00Z;21.456;47.091;444.049
2022-05-21T05:00:00Z;21.3185;47.28525;444.85175
2022-05-21T06:00:00Z;21.2145;47.8275;441.247
2022-05-21T07:00:00Z;21.287;48.319;443.08675
2022-05-21T08:00:00Z;21.438;48.90675;438.65975
2022-05-21T09:00:00Z;21.80525;48.92825;427.55325
2022-05-21T10:00:00Z;22.11225;48.254;424.20775
2022-05-21T11:00:00Z;22.48925;47.502;419.05075
2022-05-21T12:00:00Z;22.92225;46.5745;418.30225
2022-05-21T13:00:00Z;23.45225;45.99175;422.60725
2022-05-21T14:00:00Z;24.026;44.53;418.70125
2022-05-21T15:00:00Z;24.566;42.577;414.3376667
2022-05-21T16:00:00Z;24.996;41.01625;416.63725
